FECHA DE TUESTE,FECHA DE EMPAQUE,MARCA,CANTIDAD,TOSTADOR
2022-06-09 00:00:00,2022-06-09 00:00:00,Madre Laura,1.0,LFQ
2022-02-09 00:00:00,2022-02-09 00:00:00,Madre Laura,2.0,LFQ
2022-02-09 00:00:00,2022-06-09 00:00:00,Madre Laura,2.0,LFQ
2022-02-09 00:00:00,2022-06-09 00:00:00,Madre Laura,1.0,LFQ
2022-06-09 00:00:00,2022-06-09 00:00:00,Madre Laura,3.0,LFQ
2022-12-09 00:00:00,2022-06-09 00:00:00,Madre Laura,3.0,LFQ
13-9-22,2022-06-09 00:00:00,Madre Laura,1.0,LFQ
13-9-22,2022-06-09 00:00:00,Madre Laura,1.0,LFQ
13-9-22,2022-06-09 00:00:00,Madre Laura,1.0,LFQ
13-9-22,13-9-22,Madre Laura,1.0,LFQ
16-9-22,2022-06-09 00:00:00,Madre Laura,3.0,LFQ
16-9-22,2022-06-09 00:00:00,Madre Laura,3.0,LFQ
16-9-22,13-9-22,Madre Laura,2.0,LFQ
16-9-22,16-9-22,Madre Laura,3.0,LFQ
16-9-22,16-9-22,Madre Laura,1.0,LFQ
21-9-22,13-9-22,Madre Laura,2.0,LFQ
22-9-22,13-9-22,Madre Laura,2.0,LFQ
22-9-22,13-9-22,Madre Laura,2.0,LFQ
23-9-22,13-9-22,Madre Laura,2.0,LFQ
23-9-22,23-9-22,Madre Laura,3.0,LFQ
23-9-22,26-9-22,Madre Laura,2.0,LFQ
26-9-22,26-9-22,Madre Laura,38.0,LFQ
26-9-22,26-9-22,Tabi,2.0,LFQ
26-9-22,26-9-22,Madre Laura,1.0,LFQ
27-9-22,26-9-22,Madre Laura,2.0,LFQ
28-9-22,26-9-22,Madre Laura,1.0,LFQ
26-9-22,30-9-22,Madre Laura,2.0,LFQ
26-9-22,2022-01-10 00:00:00,Madre Laura,2.0,LFQ
29-9-22,2022-03-10 00:00:00,Madre Laura,4.0,LFQ
2022-03-10 00:00:00,2022-03-10 00:00:00,Madre Laura,1.0,LFQ
29-9-22,2022-03-10 00:00:00,Madre Laura,6.0,LFQ
29-9-22,2022-03-10 00:00:00,Madre Laura,8.0,LFQ
29-9-22,2022-03-10 00:00:00,Madre Laura,2.0,LFQ
29-9-22,2022-03-10 00:00:00,Madre Laura,1.0,LFQ
2022-05-10 00:00:00,2022-05-10 00:00:00,Madre Laura,7.0,LFQ
2022-05-10 00:00:00,2022-10-10 00:00:00,Madre Laura,3.0,LFQ
2022-05-10 00:00:00,2022-10-10 00:00:00,Madre Laura,1.0,LFQ
2022-05-10 00:00:00,2022-10-10 00:00:00,Madre Laura,1.0,LFQ
2022-05-10 00:00:00,2022-10-10 00:00:00,Madre Laura,1.0,LFQ
2022-05-10 00:00:00,2022-10-10 00:00:00,Madre Laura,4.0,LFQ
2022-05-10 00:00:00,2022-10-10 00:00:00,Madre Laura,1.0,LFQ
13-10-22,13-10-22,Madre Laura,46.0,LFQ
13-10-22,13-10-22,Tabi Natural,6.0,LFQ
13-10-22,13-10-22,Madre Laura,3.0,LFQ
13-10-22,13-10-22,Madre Laura,1.0,LFQ
13-10-22,13-10-22,Madre Laura,1.0,LFQ
13-10-22,13-10-22,Madre Laura,1.0,LFQ
13-10-22,13-10-22,Madre Laura,4.0,LFQ
13-10-22,19-10-22,Madre Laura,3.0,LFQ
13-10-22,19-10-22,Madre Laura,3.0,LFQ
13-10-22,20-10-22,Madre Laura,1.0,LFQ
15-10-22,20-10-22,Madre Laura,2.0,LFQ
15-10-22,20-10-22,Madre Laura,2.0,LFQ
15-10-22,24-10-22,Madre Laura,1.0,LFQ
24-10-22,24-10-22,Madre Laura,5.0,LFQ
27-10-22,27-10-22,Madre Laura,4.0,LFQ
27-10-22,27-10-22,Madre Laura,1.0,LFQ
27-10-22,27-10-22,Madre Laura,2.0,LFQ
27-10-22,27-10-22,Madre Laura,3.0,LFQ
27-10-22,27-10-22,Madre Laura,3.0,LFQ
27-10-22,27-10-22,Madre Laura,8.0,LFQ
27-10-22,27-10-22,Madre Laura,5.0,LFQ
27-10-22,2022-01-11 00:00:00,Madre Laura,5.0,LFQ
27-10-22,2022-04-11 00:00:00,Madre Laura,6.0,LFQ
27-10-22,2022-02-11 00:00:00,Madre Laura,1.0,LFQ
27-10-22,2022-08-11 00:00:00,Madre Laura,1.0,LFQ
27-10-22,2022-08-11 00:00:00,Madre Laura,1.0,LFQ
27-10-22,2022-09-11 00:00:00,Madre Laura,1.0,LFQ
27-10-22,2022-09-11 00:00:00,Madre Laura,3.0,LFQ
2022-02-11 00:00:00,2022-09-11 00:00:00,Madre Laura,2.0,LFQ
2022-02-11 00:00:00,2022-09-11 00:00:00,Madre Laura,2.0,LFQ
2022-08-11 00:00:00,2022-10-11 00:00:00,Tabi Natural,10.0,LFQ
2022-08-11 00:00:00,2022-10-11 00:00:00,Madre Laura,46.0,LFQ
2022-10-11 00:00:00,2022-10-11 00:00:00,Madre Laura,4.0,LFQ
2022-02-11 00:00:00,2022-11-11 00:00:00,Madre Laura,2.0,LFQ
2022-02-11 00:00:00,2022-11-11 00:00:00,Madre Laura,3.0,LFQ
2022-08-11 00:00:00,2022-11-11 00:00:00,Madre Laura,1.0,LFQ
2022-08-11 00:00:00,2022-11-11 00:00:00,Madre Laura,1.0,LFQ
2022-10-11 00:00:00,18-11-22,Madre Laura,3.0,LFQ
2022-10-11 00:00:00,18-11-22,Madre Laura,4.0,LFQ
2022-11-11 00:00:00,18-11-22,Madre Laura,3.0,LFQ
2022-11-11 00:00:00,21-11-22,Madre Laura,5.0,LFQ
21-11-22,23-11-22,Madre Laura,1.0,LFQ
2022-11-11 00:00:00,24-11-22,Madre Laura,2.0,LFQ
2022-11-11 00:00:00,24-11-22,Madre Laura,1.0,LFQ
2022-11-11 00:00:00,28-11-22,Madre Laura,3.0,LFQ
2022-11-11 00:00:00,28-11-22,Madre Laura,1.0,LFQ
2022-11-11 00:00:00,28-11-22,Madre Laura,1.0,LFQ
2022-11-11 00:00:00,29-11-22,Madre Laura,1.0,LFQ
2022-11-11 00:00:00,29-11-22,Madre Laura,3.0,LFQ
28-11-22,30-11-22,Madre Laura,44.0,LFQ
28-11-22,30-11-22,Tabi Natural,14.0,LFQ
21-11-22,2022-01-12 00:00:00,Madre Laura,1.0,LFQ
29-11-22,2022-02-12 00:00:00,Madre Laura,3.0,LFQ
29-11-22,2022-02-12 00:00:00,Madre Laura,3.0,LFQ
29-11-22,2022-05-12 00:00:00,Madre Laura,1.0,LFQ
2022-04-12 00:00:00,2022-05-12 00:00:00,Madre Laura,4.0,LFQ
29-11-22,2022-06-12 00:00:00,Madre Laura,1.0,LFQ
29-11-22,2022-06-12 00:00:00,Madre Laura,2.0,LFQ
29-11-22,2022-06-12 00:00:00,Madre Laura,3.0,LFQ
29-11-22,2022-06-12 00:00:00,Madre Laura,1.0,LFQ
29-11-22,2022-07-12 00:00:00,Madre Laura,3.0,LFQ
2022-04-12 00:00:00,2022-09-12 00:00:00,Madre Laura,3.0,LFQ
2022-04-12 00:00:00,2022-11-12 00:00:00,Madre Laura,1.0,LFQ
2022-04-12 00:00:00,13-12-22,Madre Laura,3.0,LFQ
2022-04-12 00:00:00,13-12-22,Madre Laura,2.0,LFQ
2022-04-12 00:00:00,13-12-22,Madre Laura,1.0,LFQ
2022-11-12 00:00:00,14-12-22,Madre Laura,4.0,LFQ
2022-11-12 00:00:00,16-12-22,Madre Laura,4.0,LFQ
16-11-22,16-12-22,Madre Laura,4.0,LFQ
14-12-22,19-12-22,Madre Laura,1.0,LFQ
14-12-22,19-12-22,Madre Laura,1.0,LFQ
14-12-22,19-12-22,Madre Laura,1.0,LFQ
14-12-22,20-12-22,Madre Laura,44.0,LFQ
14-12-22,20-12-22,Madre Laura,8.0,LFQ
14-12-22,21-12-22,Madre Laura,3.0,LFQ
14-12-22,21-12-22,Madre Laura,3.0,LFQ
29-12-22,29-12-22,Madre Laura,76.0,LFQ
22-12-22,29-12-22,Tabi Natural,20.0,LFQ
22-12-22,29-12-22,Madre Laura,1.0,LFQ
22-12-22,29-12-22,Madre Laura,3.0,LFQ
15-12-22,30-12-22,Madre Laura,5.0,LFQ
15-12-22,30-12-22,Madre Laura,3.0,LFQ
15-12-22,30-12-22,Madre Laura Natural,2.0,LFQ
15-12-22,30-12-22,Gesha Honey,3.0,LFQ
15-12-22,30-12-22,Doña Dolly,3.0,LFQ
15-12-22,30-12-22,Madre Laura,8.0,LFQ
22-12-22,2023-05-01 00:00:00,Madre Laura,6.0,LFQ
22-12-22,2023-05-01 00:00:00,Madre Laura,1.0,LFQ
22-12-22,2023-05-01 00:00:00,Madre Laura,4.0,LFQ
22-12-22,2023-05-01 00:00:00,Madre Laura,2.0,LFQ
29-12-22,2023-12-01 00:00:00,Madre Laura,3.0,LFQ
29-12-22,13-1-23,Madre Laura,10.0,LFQ
29-12-22,13-1-23,Madre Laura,3.0,LFQ
29-12-22,13-1-23,Madre Laura,3.0,LFQ
18-01-23,18-01-23,Madre Laura,38.0,LFQ
18-01-23,18-01-23,Madre Laura,12.0,LFQ
18-01-23,18-01-23,Madre Laura,1.0,LFQ
18-01-23,18-01-23,Madre Laura,3.0,LFQ
18-01-23,18-01-23,Madre Laura,5.0,LFQ
18-01-23,18-01-23,Madre Laura,2.0,LFQ
23-01-23,23-01-23,Madre Laura,3.0,LFQ
23-01-23,23-01-23,Madre Laura,2.0,LFQ
23-01-23,23-01-23,Madre Laura,23.0,LFQ
23-01-23,23-01-23,Madre Laura,13.0,LFQ
23-01-23,23-01-23,Madre Laura,6.0,LFQ
23-01-23,23-01-23,Madre Laura Natural,22.0,LFQ
23-01-23,23-01-23,Gesha Honey,17.0,LFQ
23-01-23,23-01-23,Doña Dolly,17.0,LFQ
23-01-23,23-01-23,Madre Laura Natural,1.0,LFQ
23-01-23,23-01-23,Gesha Honey,1.0,LFQ
23-01-23,23-01-23,Doña Dolly,1.0,LFQ
23-01-23,23-01-23,Madre Laura,2.0,LFQ
23-01-23,23-01-23,Madre Laura,2.0,LFQ
29-01-23,29-01-23,Madre Laura,4.0,LFQ
29-01-23,29-01-23,Madre Laura,6.0,LFQ
29-01-23,29-01-23,Madre Laura,3.0,LFQ
29-01-23,29-01-23,Madre Laura,10.0,LFQ
23-01-23,23-01-23,Madre Laura,3.0,LFQ
23-01-23,23-01-23,Madre Laura,3.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Madre Laura,3.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Madre Laura,2.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Madre Laura Natural,1.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Gesha Honey,1.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Madre Laura,5.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Madre Laura Natural,5.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Gesha Honey,5.0,LFQ
2023-03-02 00:00:00,2023-03-02 00:00:00,Doña Dolly,5.0,LFQ
2023-04-02 00:00:00,2023-04-02 00:00:00,Madre Laura,36.0,LFQ
2023-04-02 00:00:00,2023-04-02 00:00:00,Tabi Natural,4.0,LFQ
2023-04-02 00:00:00,2023-04-02 00:00:00,Madre Laura,3.0,LFQ
2023-04-02 00:00:00,2023-04-02 00:00:00,Madre Laura,1.0,LFQ
27-01-23,27-01-23,Madre Laura,3.0,LFQ
2023-04-02 00:00:00,2023-04-02 00:00:00,Madre Laura,2.0,LFQ
2023-07-02 00:00:00,2023-07-02 00:00:00,Madre Laura,12.0,LFQ
2023-07-02 00:00:00,2023-07-02 00:00:00,Madre Laura,3.0,LFQ
2023-07-02 00:00:00,2023-07-02 00:00:00,Madre Laura,2.0,LFQ
2023-07-02 00:00:00,2023-07-02 00:00:00,Doña Dolly,1.0,LFQ
2023-07-02 00:00:00,2023-07-02 00:00:00,Madre Laura,3.0,LFQ
2023-10-02 00:00:00,2023-10-02 00:00:00,Madre Laura,3.0,LFQ
27-1-23,27-1-23,Madre Laura,4.0,LFQ
2023-09-02 00:00:00,2023-09-02 00:00:00,Madre Laura,1.0,LFQ
2023-09-02 00:00:00,2023-09-02 00:00:00,Madre Laura,1.0,LFQ
2023-04-02 00:00:00,2023-04-03 00:00:00,Madre Laura,2.0,LFQ
2023-04-02 00:00:00,2023-04-03 00:00:00,Madre Laura,5.0,LFQ
2023-04-02 00:00:00,2023-04-03 00:00:00,Madre Laura Natural,5.0,LFQ
2023-04-02 00:00:00,2023-04-03 00:00:00,Gesha Honey,5.0,LFQ
2023-04-02 00:00:00,2023-04-03 00:00:00,Doña Dolly,5.0,LFQ
2023-04-02 00:00:00,2023-04-03 00:00:00,Madre Laura Natural,1.0,LFQ
2023-04-02 00:00:00,2023-04-03 00:00:00,Wush Wush Natural,1.0,LFQ
2023-04-02 00:00:00,2023-04-02 00:00:00,Madre Laura,1.0,LFQ
17-2-23,17-2-23,Madre Laura,10.0,LFQ
2023-04-02 00:00:00,2023-04-02 00:00:00,Madre Laura,1.0,LFQ
17-02-23,17-02-23,Madre Laura,40.0,LFQ
17-02-23,17-02-23,Tabi Natural,4.0,LFQ
16-02-23,16-02-23,Madre Laura,5.0,LFQ
16-02-23,16-02-23,Madre Laura,5.0,LFQ
16-02-23,16-02-23,Gesha Honey,5.0,LFQ
16-02-23,16-02-23,Madre Laura,5.0,LFQ
16-02-23,16-02-23,Doña Dolly,5.0,LFQ
16-02-23,16-02-23,Madre Laura Natural,5.0,LFQ
18-02-23,18-02-23,Gesha Honey,5.0,LFQ
18-02-23,18-02-23,Madre Laura,5.0,LFQ
18-02-23,18-02-23,Gesha Honey,1.0,LFQ
18-02-23,18-02-23,Don Felix,1.0,LFQ
18-02-23,18-02-23,Wush Wush Natural,1.0,LFQ
18-02-23,18-02-23,Madre Laura,2.0,LFQ
18-02-23,18-02-23,Madre Laura,6.0,LFQ
18-02-23,18-02-23,Doña Dolly,5.0,LFQ
20-02-23,20-02-23,Madre Laura,2.0,LFQ
20-02-23,20-02-23,Madre Laura,6.0,LFQ
20-02-23,20-02-23,Madre Laura,6.0,LFQ
20-02-23,20-02-23,Madre Laura,3.0,LFQ
20-02-23,20-02-23,Madre Laura Natural,5.0,LFQ
20-02-23,20-02-23,Madre Laura,5.0,LFQ
20-02-23,20-02-23,Madre Laura,4.0,LFQ
20-02-23,20-02-23,Madre Laura,1.0,LFQ
20-02-23,20-02-23,Madre Laura Natural,5.0,LFQ
20-02-23,20-02-23,Madre Laura,5.0,LFQ
20-02-23,20-02-23,Gesha Honey,5.0,LFQ
20-02-23,20-02-23,Madre Laura,1.0,LFQ
20-02-23,20-02-23,Madre Laura,3.0,LFQ
20-02-23,20-02-23,Madre Laura,12.0,LFQ
20-02-23,20-02-23,Madre Laura Natural,2.0,LFQ
20-02-23,20-02-23,Madre Laura Natural,5.0,LFQ
20-02-23,20-02-23,Madre Laura,5.0,LFQ
20-02-23,20-02-23,Gesha Honey,5.0,LFQ
20-02-23,20-02-23,Madre Laura,3.0,LFQ
20-02-23,20-02-23,Madre Laura,1.0,LFQ
27-02-23,27-02-23,Tabi,12.0,LFQ
27-02-23,27-02-23,Madre Laura,52.0,LFQ
27-02-23,27-02-23,Gesha Honey,1.0,LFQ
27-02-23,27-02-23,Madre Laura Natural,1.0,LFQ
27-02-23,27-02-23,Madre Laura,6.0,LFQ
27-02-23,27-02-23,Madre Laura,3.0,LFQ
27-02-23,27-02-23,Madre Laura Natural,5.0,LFQ
27-02-23,27-02-23,Madre Laura,5.0,LFQ
27-02-23,27-02-23,Gesha Honey,5.0,LFQ
27-02-23,27-02-23,Doña Dolly,5.0,LFQ
27-02-23,27-02-23,Madre Laura,2.0,LFQ
27-02-23,27-02-23,Don Felix,1.0,LFQ
27-02-23,27-02-23,Wush Wush Natural,1.0,LFQ
27-02-23,27-02-23,Madre Laura Natural,1.0,LFQ
27-02-23,27-02-23,Madre Laura,4.0,LFQ
27-02-23,27-02-23,Madre Laura,1.0,LFQ
27-02-23,27-02-23,Madre Laura,2.0,LFQ
27-02-23,27-02-23,Gesha Honey,5.0,LFQ
27-02-23,27-02-23,Doña Dolly,5.0,LFQ
27-02-23,27-02-23,Madre Laura Natural,5.0,LFQ
27-02-23,27-02-23,Madre Laura,3.0,LFQ
2023-04-03 00:00:00,2023-04-03 00:00:00,Madre Laura,3.0,LFQ
27-02-23,27-02-23,Madre Laura,2.0,LFQ
2023-04-03 00:00:00,2023-04-03 00:00:00,Madre Laura,1.0,LFQ
27-02-23,27-02-23,Madre Laura,2.0,LFQ
27-02-23,27-02-23,Madre Laura,2.0,LFQ
27-02-23,27-02-23,Madre Laura,5.0,LFQ
27-02-23,27-02-23,Gesha Honey,5.0,LFQ
27-02-23,27-02-23,Doña Dolly,5.0,LFQ
27-02-23,27-02-23,Madre Laura Natural,5.0,LFQ
27-02-23,27-02-23,Madre Laura,2.0,LFQ
2023-04-03 00:00:00,2023-04-03 00:00:00,Madre Laura,5.0,LFQ
2023-04-03 00:00:00,2023-04-03 00:00:00,Madre Laura,1.0,LFQ
2023-04-03 00:00:00,2023-04-03 00:00:00,Gesha Honey,2.0,LFQ
2023-04-03 00:00:00,2023-04-03 00:00:00,Doña Dolly,1.0,LFQ
2023-04-03 00:00:00,2023-04-03 00:00:00,Madre Laura Natural,2.0,LFQ
2023-08-03 00:00:00,2023-08-03 00:00:00,Madre Laura,45.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Gesha Honey,5.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Doña Dolly,5.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura Natural,5.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,5.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Gesha Honey,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Don Felix,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Wush Wush Natural,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura Natural,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,6.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,3.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,12.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,44.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Pink Bourbon Honey,20.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,3.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,5.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,3.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,4.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,3.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,3.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,10.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura Natural,10.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Gesha Honey,10.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,4.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Gesha Honey,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,7.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Doña Dolly,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,3.0,LFQ
25-3-23,25-3-23,Madre Laura,52.0,LFQ
25-3-23,25-3-23,Madre Laura Natural,16.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Gesha Honey,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Wush Wush Natural,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Don Felix,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura Natural,1.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,4.0,LFQ
31-3-23,31-3-23,Madre Laura,20.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,2.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,1.0,LFQ
28-3-23,28-3-23,Wush Wush Natural,5.0,LFQ
28-3-23,28-3-23,Madre Laura,6.0,LFQ
2023-01-04 00:00:00,2023-01-04 00:00:00,Madre Laura,4.0,LFQ
2023-09-03 00:00:00,2023-09-03 00:00:00,Madre Laura,4.0,LFQ
28-3-23,28-3-23,Madre Laura,1.0,LFQ
28-3-23,28-3-23,Madre Laura,3.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,14.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,3.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Doña Dolly,10.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,10.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura Natural,10.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Gesha Honey,10.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,6.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,1.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,3.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,3.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,2.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,8.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Doña Dolly,5.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,5.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura Natural,5.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Gesha Honey,5.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,12.0,LFQ
2023-02-04 00:00:00,2023-02-04 00:00:00,Madre Laura,36.0,LFQ
